oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.04.41, CEST,mer 15 apr 2020, 16.04.46, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.04.46, CEST,mer 15 apr 2020, 16.04.52, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.04.52, CEST,mer 15 apr 2020, 16.04.57, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.04.57, CEST,mer 15 apr 2020, 16.05.03, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.03, CEST,mer 15 apr 2020, 16.05.08, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.08, CEST,mer 15 apr 2020, 16.05.14, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.14, CEST,mer 15 apr 2020, 16.05.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.19, CEST,mer 15 apr 2020, 16.05.24, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.24, CEST,mer 15 apr 2020, 16.05.30, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.30, CEST,mer 15 apr 2020, 16.05.36, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.36, CEST,mer 15 apr 2020, 16.05.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.42, CEST,mer 15 apr 2020, 16.05.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.48, CEST,mer 15 apr 2020, 16.05.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.54, CEST,mer 15 apr 2020, 16.05.59, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.05.59, CEST,mer 15 apr 2020, 16.06.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.05, CEST,mer 15 apr 2020, 16.06.10, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.10, CEST,mer 15 apr 2020, 16.06.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.16, CEST,mer 15 apr 2020, 16.06.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.22, CEST,mer 15 apr 2020, 16.06.27, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.27, CEST,mer 15 apr 2020, 16.06.33, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.33, CEST,mer 15 apr 2020, 16.06.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.39, CEST,mer 15 apr 2020, 16.06.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.44, CEST,mer 15 apr 2020, 16.06.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.50, CEST,mer 15 apr 2020, 16.06.56, CEST
