oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.57.32, CEST,mer 15 apr 2020, 12.57.37, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.57.37, CEST,mer 15 apr 2020, 12.57.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.57.42, CEST,mer 15 apr 2020, 12.57.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.57.48, CEST,mer 15 apr 2020, 12.57.53, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.57.53, CEST,mer 15 apr 2020, 12.57.58, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.57.58, CEST,mer 15 apr 2020, 12.58.04, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.04, CEST,mer 15 apr 2020, 12.58.09, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.09, CEST,mer 15 apr 2020, 12.58.14, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.14, CEST,mer 15 apr 2020, 12.58.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.19, CEST,mer 15 apr 2020, 12.58.24, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.24, CEST,mer 15 apr 2020, 12.58.30, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.30, CEST,mer 15 apr 2020, 12.58.35, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.35, CEST,mer 15 apr 2020, 12.58.40, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.40, CEST,mer 15 apr 2020, 12.58.46, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.46, CEST,mer 15 apr 2020, 12.58.51, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.51, CEST,mer 15 apr 2020, 12.58.56, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.58.56, CEST,mer 15 apr 2020, 12.59.02, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.02, CEST,mer 15 apr 2020, 12.59.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.07, CEST,mer 15 apr 2020, 12.59.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.12, CEST,mer 15 apr 2020, 12.59.18, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.18, CEST,mer 15 apr 2020, 12.59.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.23, CEST,mer 15 apr 2020, 12.59.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.28, CEST,mer 15 apr 2020, 12.59.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.34, CEST,mer 15 apr 2020, 12.59.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.39, CEST,mer 15 apr 2020, 12.59.44, CEST
