handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.15.40, CEST,sab 11 apr 2020, 07.15.52, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.15.52, CEST,sab 11 apr 2020, 07.16.05, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.16.05, CEST,sab 11 apr 2020, 07.16.17, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.16.17, CEST,sab 11 apr 2020, 07.16.30, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.16.30, CEST,sab 11 apr 2020, 07.16.42, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.16.42, CEST,sab 11 apr 2020, 07.16.54, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.16.54, CEST,sab 11 apr 2020, 07.17.06, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.17.06, CEST,sab 11 apr 2020, 07.17.18, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.17.18, CEST,sab 11 apr 2020, 07.17.30, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.17.30, CEST,sab 11 apr 2020, 07.17.42, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.17.42, CEST,sab 11 apr 2020, 07.17.54, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.17.54, CEST,sab 11 apr 2020, 07.18.07, CEST
