hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.28, CET,ven 13 mar 2020, 01.10.32, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.32, CET,ven 13 mar 2020, 01.10.36, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.36, CET,ven 13 mar 2020, 01.10.39, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.39, CET,ven 13 mar 2020, 01.10.43, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.43, CET,ven 13 mar 2020, 01.10.46, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.46, CET,ven 13 mar 2020, 01.10.50, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.50, CET,ven 13 mar 2020, 01.10.53, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.53, CET,ven 13 mar 2020, 01.10.57, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.10.57, CET,ven 13 mar 2020, 01.11.00, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.11.00, CET,ven 13 mar 2020, 01.11.04, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.11.04, CET,ven 13 mar 2020, 01.11.07, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.11.07, CET,ven 13 mar 2020, 01.11.11, CET
