oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.03, CEST,lun 6 apr 2020, 03.37.08, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.08, CEST,lun 6 apr 2020, 03.37.13, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.13, CEST,lun 6 apr 2020, 03.37.19, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.19, CEST,lun 6 apr 2020, 03.37.24, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.24, CEST,lun 6 apr 2020, 03.37.29, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.29, CEST,lun 6 apr 2020, 03.37.35, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.35, CEST,lun 6 apr 2020, 03.37.40, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.40, CEST,lun 6 apr 2020, 03.37.45, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.45, CEST,lun 6 apr 2020, 03.37.50, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.50, CEST,lun 6 apr 2020, 03.37.56, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.37.56, CEST,lun 6 apr 2020, 03.38.01, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.01, CEST,lun 6 apr 2020, 03.38.06, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.06, CEST,lun 6 apr 2020, 03.38.11, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.11, CEST,lun 6 apr 2020, 03.38.17, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.17, CEST,lun 6 apr 2020, 03.38.22, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.22, CEST,lun 6 apr 2020, 03.38.27, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.27, CEST,lun 6 apr 2020, 03.38.33, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.33, CEST,lun 6 apr 2020, 03.38.38, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.38, CEST,lun 6 apr 2020, 03.38.44, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.44, CEST,lun 6 apr 2020, 03.38.49, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.49, CEST,lun 6 apr 2020, 03.38.55, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.38.55, CEST,lun 6 apr 2020, 03.39.01, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.39.01, CEST,lun 6 apr 2020, 03.39.06, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.39.06, CEST,lun 6 apr 2020, 03.39.11, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, lun 6 apr 2020, 03.39.11, CEST,lun 6 apr 2020, 03.39.16, CEST
