oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.01, CET,ven 13 mar 2020, 02.56.03, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.03, CET,ven 13 mar 2020, 02.56.06, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.06, CET,ven 13 mar 2020, 02.56.08, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.08, CET,ven 13 mar 2020, 02.56.11, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.11, CET,ven 13 mar 2020, 02.56.13, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.13, CET,ven 13 mar 2020, 02.56.15, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.15, CET,ven 13 mar 2020, 02.56.18, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.18, CET,ven 13 mar 2020, 02.56.20, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.20, CET,ven 13 mar 2020, 02.56.22, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.23, CET,ven 13 mar 2020, 02.56.25, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.25, CET,ven 13 mar 2020, 02.56.27, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.27, CET,ven 13 mar 2020, 02.56.30, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.30, CET,ven 13 mar 2020, 02.56.32, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.32, CET,ven 13 mar 2020, 02.56.35, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.35, CET,ven 13 mar 2020, 02.56.37, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.37, CET,ven 13 mar 2020, 02.56.40, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.40, CET,ven 13 mar 2020, 02.56.42, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.42, CET,ven 13 mar 2020, 02.56.45, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.45, CET,ven 13 mar 2020, 02.56.47, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.47, CET,ven 13 mar 2020, 02.56.49, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.49, CET,ven 13 mar 2020, 02.56.52, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.52, CET,ven 13 mar 2020, 02.56.54, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.54, CET,ven 13 mar 2020, 02.56.57, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.57, CET,ven 13 mar 2020, 02.56.59, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.56.59, CET,ven 13 mar 2020, 02.57.02, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.02, CET,ven 13 mar 2020, 02.57.04, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.04, CET,ven 13 mar 2020, 02.57.06, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.06, CET,ven 13 mar 2020, 02.57.09, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.09, CET,ven 13 mar 2020, 02.57.11, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.11, CET,ven 13 mar 2020, 02.57.14, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.14, CET,ven 13 mar 2020, 02.57.16, CET
