Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.44.52, CET,mar 10 mar 2020, 12.44.54, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.44.54, CET,mar 10 mar 2020, 12.44.56, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.44.56, CET,mar 10 mar 2020, 12.44.59, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.44.59, CET,mar 10 mar 2020, 12.45.01, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.01, CET,mar 10 mar 2020, 12.45.03, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.03, CET,mar 10 mar 2020, 12.45.06, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.06, CET,mar 10 mar 2020, 12.45.08, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.08, CET,mar 10 mar 2020, 12.45.10, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.10, CET,mar 10 mar 2020, 12.45.13, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.45.13, CET,mar 10 mar 2020, 12.45.15, CET
