ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.11, CET,lun 9 mar 2020, 12.07.14, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.14, CET,lun 9 mar 2020, 12.07.15, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.15, CET,lun 9 mar 2020, 12.07.17, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.17, CET,lun 9 mar 2020, 12.07.19, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.19, CET,lun 9 mar 2020, 12.07.22, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.22, CET,lun 9 mar 2020, 12.07.24, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.24, CET,lun 9 mar 2020, 12.07.26, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.26, CET,lun 9 mar 2020, 12.07.29, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.29, CET,lun 9 mar 2020, 12.07.31, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.31, CET,lun 9 mar 2020, 12.07.33, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.33, CET,lun 9 mar 2020, 12.07.35, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.35, CET,lun 9 mar 2020, 12.07.37, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.37, CET,lun 9 mar 2020, 12.07.39, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.39, CET,lun 9 mar 2020, 12.07.41, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.41, CET,lun 9 mar 2020, 12.07.43, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.43, CET,lun 9 mar 2020, 12.07.45, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.45, CET,lun 9 mar 2020, 12.07.47, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.47, CET,lun 9 mar 2020, 12.07.49, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.49, CET,lun 9 mar 2020, 12.07.50, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.50, CET,lun 9 mar 2020, 12.07.52, CET
