excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:34:44, CEST,mar 9 giu 2020, 13:34:47, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:34:47, CEST,mar 9 giu 2020, 13:34:50, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:34:50, CEST,mar 9 giu 2020, 13:34:53, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:34:53, CEST,mar 9 giu 2020, 13:34:56, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:34:56, CEST,mar 9 giu 2020, 13:34:59, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:34:59, CEST,mar 9 giu 2020, 13:35:02, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:02, CEST,mar 9 giu 2020, 13:35:05, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:05, CEST,mar 9 giu 2020, 13:35:08, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:08, CEST,mar 9 giu 2020, 13:35:11, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:11, CEST,mar 9 giu 2020, 13:35:14, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:14, CEST,mar 9 giu 2020, 13:35:17, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:17, CEST,mar 9 giu 2020, 13:35:20, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:20, CEST,mar 9 giu 2020, 13:35:23, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:23, CEST,mar 9 giu 2020, 13:35:26, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:26, CEST,mar 9 giu 2020, 13:35:29, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:35:29, CEST,mar 9 giu 2020, 13:35:32, CEST
