oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.16.29, CEST,sab 4 apr 2020, 15.16.34, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.16.34, CEST,sab 4 apr 2020, 15.16.40, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.16.40, CEST,sab 4 apr 2020, 15.16.46, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.16.46, CEST,sab 4 apr 2020, 15.16.51, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.16.51, CEST,sab 4 apr 2020, 15.16.58, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.16.58, CEST,sab 4 apr 2020, 15.17.04, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.04, CEST,sab 4 apr 2020, 15.17.10, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.10, CEST,sab 4 apr 2020, 15.17.16, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.16, CEST,sab 4 apr 2020, 15.17.22, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.22, CEST,sab 4 apr 2020, 15.17.29, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.29, CEST,sab 4 apr 2020, 15.17.36, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.36, CEST,sab 4 apr 2020, 15.17.42, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.42, CEST,sab 4 apr 2020, 15.17.48, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.48, CEST,sab 4 apr 2020, 15.17.54, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.54, CEST,sab 4 apr 2020, 15.17.59, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.17.59, CEST,sab 4 apr 2020, 15.18.05, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.06, CEST,sab 4 apr 2020, 15.18.11, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.11, CEST,sab 4 apr 2020, 15.18.17, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.17, CEST,sab 4 apr 2020, 15.18.22, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.22, CEST,sab 4 apr 2020, 15.18.28, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.28, CEST,sab 4 apr 2020, 15.18.34, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.34, CEST,sab 4 apr 2020, 15.18.39, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.39, CEST,sab 4 apr 2020, 15.18.44, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.44, CEST,sab 4 apr 2020, 15.18.50, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.50, CEST,sab 4 apr 2020, 15.18.56, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.18.56, CEST,sab 4 apr 2020, 15.19.01, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.19.01, CEST,sab 4 apr 2020, 15.19.07, CEST
