wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.08, CET,lun 9 mar 2020, 13.39.09, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.09, CET,lun 9 mar 2020, 13.39.11, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.11, CET,lun 9 mar 2020, 13.39.13, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.13, CET,lun 9 mar 2020, 13.39.15, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.15, CET,lun 9 mar 2020, 13.39.16, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.16, CET,lun 9 mar 2020, 13.39.18, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.18, CET,lun 9 mar 2020, 13.39.20, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.20, CET,lun 9 mar 2020, 13.39.22, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.22, CET,lun 9 mar 2020, 13.39.24, CET
wro4j,https://github.com/wro4j/wro4j.git, b891130d77621a58d9f4c3540a41a60c5d887a6f,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 13.39.24, CET,lun 9 mar 2020, 13.39.25, CET
