oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.02.52, CEST,lun 6 apr 2020, 16.02.58, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.02.58, CEST,lun 6 apr 2020, 16.03.04, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.04, CEST,lun 6 apr 2020, 16.03.11, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.11, CEST,lun 6 apr 2020, 16.03.18, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.18, CEST,lun 6 apr 2020, 16.03.24, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.24, CEST,lun 6 apr 2020, 16.03.30, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.30, CEST,lun 6 apr 2020, 16.03.36, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.36, CEST,lun 6 apr 2020, 16.03.42, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.42, CEST,lun 6 apr 2020, 16.03.49, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.49, CEST,lun 6 apr 2020, 16.03.55, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.03.55, CEST,lun 6 apr 2020, 16.04.01, CEST
