alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:28, CEST,lun 8 giu 2020, 18:39:30, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:30, CEST,lun 8 giu 2020, 18:39:32, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:32, CEST,lun 8 giu 2020, 18:39:34, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:34, CEST,lun 8 giu 2020, 18:39:36, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:36, CEST,lun 8 giu 2020, 18:39:38, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:38, CEST,lun 8 giu 2020, 18:39:40, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:40, CEST,lun 8 giu 2020, 18:39:42, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:42, CEST,lun 8 giu 2020, 18:39:44, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:44, CEST,lun 8 giu 2020, 18:39:46, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:46, CEST,lun 8 giu 2020, 18:39:48, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:48, CEST,lun 8 giu 2020, 18:39:50, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:50, CEST,lun 8 giu 2020, 18:39:52, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:52, CEST,lun 8 giu 2020, 18:39:54, CEST
