oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.31.40, CEST,sab 4 apr 2020, 10.31.45, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.31.45, CEST,sab 4 apr 2020, 10.31.52, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.31.52, CEST,sab 4 apr 2020, 10.31.57, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.31.57, CEST,sab 4 apr 2020, 10.32.03, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.03, CEST,sab 4 apr 2020, 10.32.08, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.08, CEST,sab 4 apr 2020, 10.32.14, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.14, CEST,sab 4 apr 2020, 10.32.19, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.19, CEST,sab 4 apr 2020, 10.32.25, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.25, CEST,sab 4 apr 2020, 10.32.32, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.32, CEST,sab 4 apr 2020, 10.32.39, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.39, CEST,sab 4 apr 2020, 10.32.45, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.45, CEST,sab 4 apr 2020, 10.32.50, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.50, CEST,sab 4 apr 2020, 10.32.55, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.32.56, CEST,sab 4 apr 2020, 10.33.01, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.33.01, CEST,sab 4 apr 2020, 10.33.06, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordResumeXCommand,testCoordSuspendAndResumeForPrep,test fail, sab 4 apr 2020, 10.33.06, CEST,sab 4 apr 2020, 10.33.12, CEST
