Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.58.50, CET,mar 10 mar 2020, 17.58.52, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.58.52, CET,mar 10 mar 2020, 17.58.54, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.58.54, CET,mar 10 mar 2020, 17.58.57, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.58.57, CET,mar 10 mar 2020, 17.58.59, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.58.59, CET,mar 10 mar 2020, 17.59.01, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.01, CET,mar 10 mar 2020, 17.59.04, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.04, CET,mar 10 mar 2020, 17.59.06, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.06, CET,mar 10 mar 2020, 17.59.08, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.08, CET,mar 10 mar 2020, 17.59.11, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.11, CET,mar 10 mar 2020, 17.59.13, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.13, CET,mar 10 mar 2020, 17.59.16, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.16, CET,mar 10 mar 2020, 17.59.18, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.18, CET,mar 10 mar 2020, 17.59.20, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 17.59.20, CET,mar 10 mar 2020, 17.59.23, CET
