wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.23, CET,lun 9 mar 2020, 21.05.24, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.24, CET,lun 9 mar 2020, 21.05.26, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.26, CET,lun 9 mar 2020, 21.05.28, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.28, CET,lun 9 mar 2020, 21.05.30, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.30, CET,lun 9 mar 2020, 21.05.32, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.32, CET,lun 9 mar 2020, 21.05.33, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.33, CET,lun 9 mar 2020, 21.05.35, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.35, CET,lun 9 mar 2020, 21.05.37, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.37, CET,lun 9 mar 2020, 21.05.39, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.39, CET,lun 9 mar 2020, 21.05.40, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.40, CET,lun 9 mar 2020, 21.05.42, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.42, CET,lun 9 mar 2020, 21.05.44, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.44, CET,lun 9 mar 2020, 21.05.46, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.46, CET,lun 9 mar 2020, 21.05.48, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.48, CET,lun 9 mar 2020, 21.05.50, CET
wro4j,https://github.com/wro4j/wro4j.git, a7c613fbe0db83a95d0fe3fbdacbf90506753d0a,./wro4j-maven-plugin/src/test/, TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,test fail, lun 9 mar 2020, 21.05.50, CET,lun 9 mar 2020, 21.05.51, CET
