oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.15, CEST,mer 15 apr 2020, 17.41.20, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.20, CEST,mer 15 apr 2020, 17.41.26, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.26, CEST,mer 15 apr 2020, 17.41.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.31, CEST,mer 15 apr 2020, 17.41.36, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.36, CEST,mer 15 apr 2020, 17.41.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.42, CEST,mer 15 apr 2020, 17.41.47, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.47, CEST,mer 15 apr 2020, 17.41.52, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.52, CEST,mer 15 apr 2020, 17.41.58, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.41.58, CEST,mer 15 apr 2020, 17.42.03, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.03, CEST,mer 15 apr 2020, 17.42.08, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.08, CEST,mer 15 apr 2020, 17.42.13, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.13, CEST,mer 15 apr 2020, 17.42.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.19, CEST,mer 15 apr 2020, 17.42.24, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.24, CEST,mer 15 apr 2020, 17.42.29, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.29, CEST,mer 15 apr 2020, 17.42.35, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.35, CEST,mer 15 apr 2020, 17.42.40, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.40, CEST,mer 15 apr 2020, 17.42.46, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.46, CEST,mer 15 apr 2020, 17.42.51, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.51, CEST,mer 15 apr 2020, 17.42.57, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.42.57, CEST,mer 15 apr 2020, 17.43.02, CEST
