esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:36:12, CEST,mar 9 giu 2020, 15:36:22, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:36:22, CEST,mar 9 giu 2020, 15:36:32, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:36:32, CEST,mar 9 giu 2020, 15:36:42, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:36:42, CEST,mar 9 giu 2020, 15:36:51, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:36:51, CEST,mar 9 giu 2020, 15:37:01, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:37:01, CEST,mar 9 giu 2020, 15:37:11, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:37:11, CEST,mar 9 giu 2020, 15:37:20, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:37:20, CEST,mar 9 giu 2020, 15:37:30, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:37:30, CEST,mar 9 giu 2020, 15:37:40, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:37:40, CEST,mar 9 giu 2020, 15:37:50, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:37:50, CEST,mar 9 giu 2020, 15:38:00, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:38:00, CEST,mar 9 giu 2020, 15:38:10, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:38:10, CEST,mar 9 giu 2020, 15:38:20, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:38:20, CEST,mar 9 giu 2020, 15:38:30, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:38:30, CEST,mar 9 giu 2020, 15:38:40, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:38:40, CEST,mar 9 giu 2020, 15:38:50, CEST
